Incident Date,State,City Or County,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,FIPS state,Population state,FIPS county,Population county
2024-10-10,Illinois,Chicago,0,0,0,0,0,17000,12812508.0,17031,5275541.0
2024-10-10,Ohio,Cleveland,0,0,0,0,1,39000,11799448.0,39035,1264817.0
2024-10-08,New Mexico,Albuquerque,0,0,0,0,0,35000,2117522.0,35001,676444.0
2024-10-08,Texas,Crandall,0,0,0,0,1,48000,29145505.0,48257,145310.0
2024-10-07,Oklahoma,Oklahoma City,0,0,0,0,0,40000,3959353.0,40109,796292.0
2024-10-05,Alabama,Montgomery,0,0,0,0,2,01000,5024279.0,01101,228954.0
2024-10-05,Indiana,Indianapolis,0,2,0,0,0,18000,6785528.0,18097,977203.0
2024-10-04,North Carolina,Winston Salem (Winston-salem),0,0,0,0,1,37000,10439388.0,37067,382590.0
2024-10-04,Florida,Rockledge,0,0,0,0,3,12000,21538187.0,12009,606612.0
2024-10-04,Texas,Weslaco,0,0,0,0,1,48000,29145505.0,48215,870781.0
2024-10-03,Nevada,North Las Vegas,0,0,0,0,1,32000,3104614.0,32003,2265461.0
2024-10-03,Michigan,Eastpointe,0,0,0,0,1,26000,10077331.0,26099,881217.0
2024-10-03,North Carolina,Garner,0,0,0,0,1,37000,10439388.0,37183,1129410.0
2024-10-03,Texas,Palestine,0,0,0,0,0,48000,29145505.0,48001,57922.0
2024-10-02,Mississippi,Columbus,0,0,0,0,1,28000,2961279.0,28087,58879.0
2024-10-02,California,Petaluma,0,0,0,0,0,06000,39538223.0,06097,488863.0
2024-10-02,Idaho,Hagerman,0,0,0,0,1,16000,1839106.0,16047,15598.0
2024-10-01,Massachusetts,Brockton,0,0,0,0,1,25000,7029917.0,25023,530819.0
2024-10-01,New Mexico,Albuquerque,0,0,0,0,0,35000,2117522.0,35001,676444.0
2024-10-01,Texas,Waco,0,0,0,0,1,48000,29145505.0,48309,260579.0
2024-10-01,Illinois,Ottawa,0,0,0,0,1,17000,12812508.0,17099,109658.0
2024-09-30,North Carolina,Eden,0,0,0,0,1,37000,10439388.0,37157,91096.0
2024-09-30,Texas,Abilene,0,0,0,0,1,48000,29145505.0,48441,143208.0
2024-09-30,Texas,Harlingen,0,0,0,0,1,48000,29145505.0,48061,421017.0
2024-09-30,Virginia,Stafford,0,0,0,0,1,51000,8631393.0,51179,156927.0
2024-09-30,Arizona,Prescott Valley,0,0,0,0,1,04000,7151502.0,04025,236209.0
2024-09-29,Kentucky,Louisville,0,0,0,0,1,21000,4505836.0,21111,782969.0
2024-09-29,Kentucky,Louisville,1,1,0,0,0,21000,4505836.0,21111,782969.0
2024-09-28,New York,Buffalo,0,0,0,0,0,36000,20201249.0,36029,954236.0
2024-09-27,New York,Brooklyn,0,0,0,0,0,36000,20201249.0,36047,2736074.0
2024-09-27,Louisiana,Lafayette,0,0,0,0,1,22000,4657757.0,22055,241753.0
2024-09-27,Texas,El Paso,0,0,0,0,1,48000,29145505.0,48141,865657.0
2024-09-27,Wisconsin,Milwaukee,0,1,0,0,0,55000,5893718.0,55079,939489.0
2024-09-26,New York,Brooklyn,0,0,0,0,2,36000,20201249.0,36047,2736074.0
2024-09-26,Idaho,Pocatello,0,0,0,0,0,16000,1839106.0,16005,87018.0
2024-09-26,Wyoming,Rock Springs,0,0,0,0,1,56000,576851.0,56037,42272.0
2024-09-25,Minnesota,Minneapolis (Brooklyn Park),0,0,0,0,1,27000,5706494.0,27053,1281565.0
2024-09-25,Georgia,Newnan,0,0,0,0,1,13000,10711908.0,13077,146158.0
2024-09-25,Washington,Kennewick,0,0,0,0,0,53000,7705281.0,53005,206873.0
2024-09-25,Louisiana,Loranger,0,0,0,0,1,22000,4657757.0,22105,133157.0
2024-09-25,New York,Brooklyn,0,2,0,0,0,36000,20201249.0,36047,2736074.0
2024-09-25,Washington,Kent (Covington),0,0,0,0,1,53000,7705281.0,53033,2269675.0
2024-09-25,Pennsylvania,Williamsport,0,0,0,0,1,42000,13002700.0,42081,114188.0
2024-09-25,Tennessee,Maryville,0,0,0,0,1,47000,6910840.0,47009,135280.0
2024-09-25,Tennessee,Memphis,0,0,0,0,1,47000,6910840.0,47157,929744.0
2024-09-24,Delaware,New Castle,0,0,0,0,1,10000,989948.0,10003,570719.0
2024-09-24,North Carolina,Charlotte,0,0,0,0,1,37000,10439388.0,37119,1115482.0
2024-09-24,Illinois,Highland Park,0,0,0,0,1,17000,12812508.0,17097,714342.0
2024-09-24,North Carolina,Warsaw,0,0,0,0,0,37000,10439388.0,37061,48715.0
2024-09-24,New York,Brooklyn,0,1,0,0,0,36000,20201249.0,36047,2736074.0
2024-09-24,Washington,Camas,0,0,0,0,0,53000,7705281.0,53011,503311.0
2024-09-23,Alabama,Albertville,0,0,0,0,1,01000,5024279.0,01095,97612.0
2024-09-23,Tennessee,Cordova,0,0,0,0,1,47000,6910840.0,47157,929744.0
